i,j,Aij,Bij,Cij,Aji,Bji,Cji
4,18,135.3,-2.369,0.0039,1698.1,-9.8887,0.0153
4,19,208.1,1.333, ,170.1,-0.8218, 
4,20,1352.5, , ,29.747, , 
4,21,-46.994,0.30443, ,113.07,-0.59569, 
4,22,213.85,0.19998, ,-75.01,-0.42684, 
4,23,192.52,-0.25363, ,-38.939,-0.19378, 
4,24,-106.2,0.6081, ,107.8,-0.6785, 
4,25,-113.6,19.72, ,-69.23,-0.7359, 
4,26,1358,-9.968,0.02093,1014,-4.702,0.004381
4,27,391.044,0.196357,0.0000224992,1931.39,-5.15065,0.000000451638
4,28,2586,-9.5,0.008819,-1494,7.679,-0.01225
4,30,157.9,1.408, ,181.2,-1.081, 
4,31,1856.45,5.9959,-0.01862,1041.33,-5.2068,0.00717
4,32,69,0.4317, ,448.8,-0.9919, 
4,33,277,-0.5955, ,-156.7,0.1221, 
4,35,88.93,0.2236, ,178.6,-0.7113, 
4,37,234.2,-0.2311, ,-115.9,-0.02925, 
4,38,-172.2,0.2257, ,-13.15,0.001763, 
4,39,444.29,0.1947, ,64.28,-0.5839, 
4,40,29.57, , ,153.32, , 
4,41,2303,-6.346, ,-736.8,3.332, 
4,42,-107.1,0.2564, ,191.5,-0.5561, 
4,43,-26.486,-0.29519, ,199.48,0.033695, 
4,44,-514.79,4.9372, ,291.65,-1.2039, 
4,45,297.73,-0.24204, ,-248.3,0.25471, 
4,46,72.26,-0.1919, ,763.57,-1.3961, 
4,47,1696.96,-0.7064, ,340.91,-1.008, 
4,48,76.73,0.9394,-0.00045,246.08,-0.8198,-0.000137
4,49,-182.325,3.36729,-0.004625,119.767,-0.608934,0.000607
4,52,1000.8,-2.5194, ,-139.78,0.1146, 
4,53,164.05, , ,102.04, , 
4,55,558.08,0.565,-0.00331,562.34,-3.4373,0.00633
4,56,-307.42,4.1819,-0.007723,1661.26,-8.697001,0.01424
4,61,629.463,-1.39039, ,-305.273,0.669085, 
4,84,930.7075,-4.30401,0.007841,365.3965,-1.20387,-0.0007792
4,85,-313.9384,2.06128, ,-134.6708,1.38462, 
4,87,-935.3928,1.26386,0.0041351,4101.374,-1.19824,-0.0186009
4,89,524.3056,-4.26859, ,1259.47,-1.91791, 
4,90,453.4621,-2.03845, ,3997.18,-2.994, 
4,91,1077.47,-2.43883, ,-998.0735,4.48792, 
4,93,-478.068, , ,15.0501, , 
4,98,1113.436,-0.428312, ,-281.4692,1.00738, 
4,99,335.1104,2.26653,0.0239277,3792.062,-2.55407,-0.0217293
5,6,346.31,-2.4583,0.0029287,-1218.2,9.7928,-0.016158
5,7,-801.9,3.824,-0.007514,1460,-8.673,0.01641
5,8,83.91,-1.262, ,465.4,-1.841, 
5,9,-250,2.857,-0.006022,653.3,-1.412,0.000954
5,10,-281.4,2.379,-0.006668,1590,-24.57,0.06212
5,11,973.8,-5.633,0.00769,310.4,1.538,-0.004885
5,12,235.9,-0.5874, ,839.6,-1.215, 
5,13,816.7,-5.092,0.006065,650.9,-0.7132,0.000815
5,14,-923.7,2.468, ,-75.63,-0.1511, 
5,15,-355.1,0.58, ,-660.2,1.743, 
5,16,104.6,-5.014,0.008854,1876,11.5,0.09
5,17,-1114,5.916,-0.007126,1325,-6.263,0.007584
5,18,-3061.2,9.5413,0.1842,-643.09,2.9346,-0.0055
5,19,123.5,0.8503,-0.002478,-46,4.415,-0.00878
5,20,-1295,4.3634, ,1525.8,-4.9155, 
5,21,238.1,-0.7077, ,2177,-4.363, 
5,22,-126,0.1322, ,2389,-4.509, 
5,23,1314.8, , ,963.37, , 
5,24,925.6,-2.027, ,3139,-5.964, 
5,25,1862,32.07,-0.009397,3664,34.13,0.002987
5,26,741.8,-2.098, ,1091,-1.274, 
5,27,2100, , ,316.6, , 
5,30,738.4,-1.771, ,616.5,-0.1457, 
5,31,499.8,-2.41, ,-468.8,2.421, 
5,32,838.8, , ,774.7, , 
5,33,699.7,-1.767, ,1439,-1.673, 
5,34,-148.9,1.034, ,1255,-2.538, 
5,35,190.4,-1.2, ,-452.3,1.956, 
5,36,1117,-2.196, ,1072,-1.248, 
5,37,439.4, , ,959.3, , 
5,38,848.6, , ,1253, , 
5,39,1036,-2.995, ,-366.4,1.129, 
5,41,403.8,-0.9346, ,703.4,-1.383, 
5,42,3121,-13.69,0.01446,2601,-1.25,-0.006309
5,43,401.89,-0.43627,-0.002004,-238.36,5,-0.008186501
5,45,-32.643,-0.010434, ,2985.8,-6.227, 
5,46,1201.3,-4.6803, ,-516.99,2.1888, 
5,47,186.24,-3.1349,0.007737,1460.82,-5.962,0.004691
5,48,1627.81,-5.8598,0.005497,-808.4,3.8321,-0.005877
5,49,-150.961,0.527951, ,868.681,-2.20103, 
5,52,-3745,4.5137,0.0636,7712.2,-7.6896,-0.035
5,53,495.28,-2.6496,0.00159,700.05,0.2237,-0.00244
5,56,34.94,1.0075,-0.002547,942.22,-2.3183,0.001188
5,61,1105.94,-1.68763, ,1343.95,-2.16488, 
5,84,292.6468,-1.59145, ,147.0663,2.08434, 
5,85,1026.29,-3.17777, ,-792.988,3.87681, 
5,87,-348.7564,1.92474, ,1003.498,-2.48421, 
5,89,-2448.212,-2.13997,0.0332832,-234.3916,4.01945,-0.0134709
5,90,1178.048,5.33766, ,1044.876,-3.71273, 
5,91,-159.8631,2.41804, ,662.1286,-3.28127, 
5,93,-367.321, , ,34.7132, , 
5,98,225.0235,-4.3271,0.0030855,448.381,-1.61662,0.000518
5,99,-352.184,-1.58363,0.0090199,1751.43,-1.09998,-0.0148923
6,7,-328.5,1.0823,-0.0022,-524.3,4.6065,-0.004
6,8,-867,-1.258,0.02998,265.5,-2.905,0.002283
6,9,86.439,-0.46505, ,394.78,-0.36048, 
6,10,-392.5,2.256, ,-158.4,-0.6469, 
6,11,299.23,-1.2702, ,294.76,0.3745, 
6,12,220.7,-0.6402, ,444.7,-0.06819, 
6,13,-87.48,-0.5522, ,475.2,0.1198, 
6,14,-495.25,1.0807, ,-467.95,0.65743, 
6,15,-1508.5,4.4917, ,-278.09,-0.39888, 
6,16,-1039,5.603,-0.006551,39.33,-3.354,0.006714
6,17,-2012,13.46,-0.02004,251.2,-1.274,0.002214
6,18,-341.34,-5.8042,0.0141,-230.38,-0.3825,0.0023
6,19,97.97301,-0.28666, ,615.01,-0.9444399, 
6,20,-733.07,2.3351, ,1075.5,-3.4339, 
6,21,-16.521,-0.28137, ,1831.2,-2.9694, 
6,22,-85.926,-0.26371, ,1904.4,-2.7981, 
6,23,-139.58, , ,893.38, , 
6,24,-40.13,-0.06709, ,2150,-2.813, 
6,25,3000,-11.81, ,2955,-6.383, 
6,26,374.2,-2.212,0.002688,1079,-1.766,0.001238
6,28,-332.4,4.419,-0.007797,2645,-9.172001,0.01177
6,29,75.71,-0.3753, ,1334,-1.863, 
6,30,-369.8,2.203, ,662,-1.903, 
6,31,33.19,-0.2074, ,-3.428,0.483, 
6,32,180.5,0.3161, ,1965,-3.858, 
6,33,28.95,-0.3303, ,648.8,0.8050001, 
6,35,-185.9,0.03906, ,145,-0.6343, 
6,36,164, , ,135.9, , 
6,37,-43.88, , ,2421, , 
6,38,-99.57999, , ,1235, , 
6,39,101.2,-1.078, ,-269.7,1.732, 
6,41,308.7,-1.175, ,678.1,-1.335, 
6,42,68.972,-0.41997, ,2540.7,-3.5236, 
6,43,-308.7,1.7454,-0.00335,952.24,-3.3287,0.0053598
6,45,-242.6,0.29562,-0.000090055,4519.3,-19.456,0.025981
6,47,-119.08,0.9938, ,-52.69,-0.7465, 
6,48,210.91,-2.4953,0.0048,-132.93,0.6584,-0.00208
6,49,197.395,-0.985958, ,-195.127,1.17652, 
6,52,673.72,-2.3567, ,2676.7,-5.4899, 
6,53,137.95,-1.4112,0.00172,524.52,0.4314,-0.00166
6,56,166.42,0.994,-0.003346,1683.48,-8.003099,0.01159
6,61,34.7884, , ,641.041, , 
6,84,-704.2285,-1.26236,0.0149627,152.7192,2.17856,-0.0098745
6,85,-348.9494,1.41462, ,2127.895,-4.14737, 
6,87,-1230.497,3.91001, ,1142.897,-2.92427, 
6,89,-671.2604,1.58636,-0.0048637,985.4429,-2.42145,-0.0062036
6,90,53.7776,-0.9791, ,94.629,0.30192, 
6,91,1741.061,-4.73718, ,-558.6751,1.11398, 
6,93,1216.71,-5.44835, ,-386.355,3.77874, 
6,98,1037.56,-5.46099, ,1421.557,0.34143, 
7,8,-2686,19.44,-0.02702,148.4,-2.757,0.002329
7,9,190.5,-3.669,0.008838,770.6,-0.5873,-0.003252
7,10,-1545,6.512, ,512.6,-2.145, 
7,11,-433.288,3.0862,-0.002012,311.974,-1.3412,0.001074
7,12,140.71, , ,53.28, , 
7,13,177.665,-3.72906,0.010763,433.207,-0.605276,-0.000914
7,14,798.5,-5.869,0.01032,-980.6,3.671,-0.005908
7,15,1524,-2.531, ,-851,1.034, 
7,16,274.5,-0.5905,0.002205,-446,-0.7738,0.002634
7,17,158.4,0.5246, ,-131,-0.7957, 
7,18,-3178.5,9.8213,-0.0034,-393.18,0.5546,-0.0029
7,19,-634.1,3.59, ,509.6,-1.916, 
7,20,-1795.2,12.708,-0.015455,624.97,-4.6878,0.0052371
7,21,86.68999,1.592, ,313.3,-0.5041, 
7,22,134.1,0.9495, ,748.2,-1.319, 
7,24,1008,-1.795, ,1282,-2.815, 
7,25,-1895,9.303, ,591.6,-3.08, 
7,26,-595.7,2.634, ,882.6,-2.606, 
7,30,-123.8,3.847, ,501.4,-1.939, 
7,31,372.5,-0.9091, ,-368.8,0.7775, 
7,33,822.2, , ,-17.99, , 
7,35,117,-0.611, ,-370.8,0.1043, 
7,36,419.8,2.436, ,276.9,-0.9948, 
7,39,-494.2,2.826, ,-121.8,-0.6029, 
7,41,676,-0.9909, ,808.4,-2.929, 
7,42,274.37,-0.5861,-0.00030011,1632.9,-2.8719,0.003455
7,43,-75.7467,-0.98514,0.0033318,717.485,-1.48515,-7.437899E-14
7,44,-804.28,2.828, ,594.45,-2.2535, 
7,45,509.3,-0.29, ,-523.8,3.158, 
7,46,659.22,-1.8841, ,-588.21,0.9707, 
7,47,934.67,-4.4232,0.006054,-649.31,1.3487,-0.001586
7,48,64.43999,-0.0094, ,-439.58,0.3142, 
7,49,-1119.8,7.95909,-0.008555,-128.903,-0.468519,-0.000916
7,53,499.44,-6.6553,0.01656,952.57,-0.8437,-0.0048
7,56,-302.93,0.5975, ,652.86,-1.8013, 
7,61,1038.3, , ,-270.53, , 
7,84,659.2109,-0.59252,0.0451602,151.31,-3.00895,0.0019814
7,85,2770.851,-2.00944, ,1996.724,-5.47448, 
7,89,2707.161,-2.51124,-0.0022558,-399.1902,0.16195,-0.0067585
7,90,-1616.174,5.32305, ,275.7479,-1.97057, 
7,91,318.2128,-1.42376, ,385.0068,-2.49001, 
7,93,4878.28,-6.38758, ,-444.615,-0.776483, 
7,98,206.2641,-2.57259,0.0032526,-371.2031,0.99046,-0.000807
8,9,-145.2,-0.738, ,-666.8,1.918, 
8,10,5.604, , ,-410.21, , 
8,11,-212.9, , ,-224.4, , 
8,13,-329.3, , ,-80.58, , 
8,17,542,-6.792,0.01655,-131.1,-0.9399,0.000469
8,18,-4080.9,12.859,-0.0101,-41.594,-3.5887,0.004
8,20,401.88, , ,281.08, , 
8,24,2356,-3.347, ,2157,-3.718, 
8,25,555.5, , ,1554, , 
8,31,-309, , ,191.7, , 
8,42,391.2,-0.8799, ,3630,-6.23, 
8,52,4911.4,9.8501, ,2332.5,-4.0832, 
9,10,197.6, , ,-93.07999, , 
9,11,-16.486,-0.27924, ,33.415,0.21913, 
9,12,-83.57, , ,101.3, , 
9,13,3645,-26.91,0.04757,695.8,-0.9619,-0.002462
9,15,-47.97, , ,119.5, , 
9,16,-389.6,0.1944,0.001863,2831,-13.01,0.01558
9,17,1732,-9.896001,0.0141,1460,-13.73,0.02917
9,18,-1908.7,4.1057, ,307.16,-0.8161, 
9,19,-191,0.6835, ,79.08,-0.3808, 
9,20,-109.51,0.96888, ,178.22,-0.91676, 
9,21,-99.97601, , ,55.27, , 
9,22,-18.695,-0.52606, ,-218.94,1.0749, 
9,23,810.17,-3.2209,0.0021443,-48.641,-0.79498,0.0037129
9,24,-208.71,0.8293,-0.0014,155.73,1.4412,-0.0025
9,25,1297,-1.365,-0.02253,1375,2.499,0.006309
9,26,-35.89,-0.1009, ,-32.6,0.0847, 
9,27,-169.6,2.986, ,-328.1,0.3045, 
9,28,419.9,0.09772, ,315.3,-0.5617, 
9,29,2.714, , ,64.41, , 
9,30,-986,3.847, ,277,-1.357, 
9,31,478.5,-1.148, ,-72.58,0.4909, 
9,32,346.6,-0.7017, ,-182,0.7905, 
9,33,-717.76,2.9431, ,319.69,-1.4362, 
9,34,-62.43,-0.8977, ,-481.2,9.604, 
9,35,-76.87,0.5372, ,38.06,-0.5189, 
9,37,64.01,-1.077, ,-153.4,3.143, 
9,39,80.79201,-3.702,0.011586,1955.5,-10,0.011386
9,41,64.21, , ,-148.3, , 
9,42,437.739,-2.7983,0.00364,364.423,2.1022,-0.004653
9,43,-62.857,0.2898, ,80.038,-0.10124, 
9,45,-497.98,0.79715,0.00029817,945.14,-3.8168,0.0045351
9,47,502.1,0.3401, ,141.01,-0.9829, 
9,48,37.37, , ,-116.4, , 
9,49,410.655,-1.1056, ,-201.105,0.7123, 
9,52,-153.7,0.242, ,2311.5,-6.6054, 
9,84,173.4451,-5.52695,0.0160979,958.3726,-4.73012,0.0047161
9,85,824.1235,-2.88368,0.0041569,670.0023,-5.05233,0.0074865
9,87,99.5504,0.45575, ,-1504.191,4.63058, 
9,89,147.2528,-2.74448, ,177.8232,-2.24998, 
9,90,331.1518,-1.11421, ,-30.955,-0.71244, 
9,91,571.6566,-4.43975, ,-1449.573,4.44554, 
9,98,519.4855,-5.4673,0.0068391,3306.365,0.15196,-0.0082641
10,11,-208.4, , ,389.7, , 
10,12,-160.7, , ,226.6, , 
10,13,209,-0.6241, ,235.7,0.1314, 
10,20,435.64, , ,-188, , 
10,21,985.7,-2.986, ,-888.3,3.426, 
10,22,-41.537, , ,354.71, , 
10,29,-373.7, , ,-397.5, , 
10,30,-742.7, , ,-214.8, , 
10,32,114.3, , ,293.5, , 
10,34,236.6, , ,-93.066, , 
10,37,-43.56, , ,945.6, , 
10,39,2371, , ,-225.3, , 
10,42,716.7,-1.516, ,1161,-0.5724, 
11,12,342.4, , ,-251.7, , 
11,13,195.3,-9.75,0.04051,824.2,-6.009,0.008271
11,15,3168,-24.07,0.04303,3329,-13.78,0.01193
11,16,152.8,-1.099, ,160.8,0.8719, 
11,17,-1355,7.683001,-0.01012,3499,-22.96,0.03543
11,18,87.6,1.4109, ,45.309,-1.4281, 
11,19,-193.23,0.43006, ,139.55,-0.43665, 
11,20,62.031,1.0567, ,59.594,-0.71198, 
11,21,-49.339, , ,48.852, , 
11,22,168.17,-1.0536, ,-461.35,1.8569, 
11,24,-5.71,-0.2724, ,223.4,0.1237, 
11,25,3351,-14.54, ,-788.6,1.693, 
11,26,9.222,-0.3292, ,-50.36,0.02448, 
11,28,861.1,-1.693, ,280,-0.9491, 
11,30,80.68999, , ,-136.3, , 
11,31,-72.07, , ,69.25, , 
11,32,82.96, , ,11.62, , 
11,33,-386.3,1.892, ,248.3,-1.198, 
11,35,296.8,-1.264, ,-337.1,0.8843, 
11,36,-92.12,0.9031, ,503.5,-1.792, 
11,37,-201.4,0.5487, ,-320,1.052, 
11,39,96.77,0.4827, ,16.69,-0.5966, 
11,41,-338.8,1.837, ,3.924,-1.174, 
11,42,374.1,-1.976,0.001682,460.8,-0.06206,0.000041
11,43,-28.231, , ,36.948, , 
11,44,745.4, , ,-447.04, , 
11,45,-579.11,0.9455, ,966.35,-2.1861, 
11,47,758.13,-0.2593, ,32.71,-0.8641, 
11,48,611.47,-2.4783, ,-1031.78,3.9906, 
11,49,2973.58,-5.45555, ,81.6384,-1.3111, 
11,56,-1336.2,6.7742,-0.0082,1915.2,-9.9994,0.0126
11,61,-1366.59,5.90673,-0.007325,2622.04,-11.7013,0.013472
12,18,-9.2978, , ,-123.73, , 
12,19,92.21, , ,-33.64, , 
12,24,-142.2,0.572, ,465.8,-0.7730001, 
12,25,1894, , ,18.79, , 
12,29,161.8, , ,13.97, , 
12,37,745.4,-0.622, ,-479.1,0.8031, 
12,39,580.3, , ,-285.5, , 
12,42,227.6,-0.7762, ,509,-0.2248, 
12,44,489.15, , ,-441.01, , 
12,45,260.64,-1.2868, ,-597.09,2.5295, 
13,18,-199.94,-6.9867,0.0193,-430.49,-0.728,0.004
13,19,1987,-8.022,0.01065,-588.8,1.481,-0.002636
13,20,521.48, , ,-310.82, , 
13,21,-208.6,-0.2571,0.002418,872,-2.939,0.001269
13,22,492.9,-6.475,0.01806,215.3,-2.482,0.002745
13,23,-607.35,2.3467, ,97.12801,-0.64386, 
13,24,-425.4,0.9514, ,641.2,-1.486, 
13,25,974,-1.368,-0.01983,381.1,-5.682,0.01675
13,26,-305.1,0.7063, ,319.6,-1.368, 
13,28,35.02,1.702, ,198.5,-1.434, 
13,29,102.6, , ,-210.1, , 
